season,games_year,host_city,host_country,total_events,number_of_gold_medals,number_of_silver_medals,number_of_bronze_medals,total_medals,athlete_with_most_medals,athlete_with_most_medals_country,athlete_with_most_gold_medals,athlete_with_most_gold_medals_country
Summer,1896,Athens,Greece,43,43,43,36,122,Hermann Weingärtner,GER,Carl Schuhmann,GER
Summer,1964,Tokyo,Japan,163,163,167,174,504,Larisa Latynina,URS,Don Schollander,USA
Summer,1952,Helsinki,Finland,149,149,152,158,459,Maria Gorokhovskaya,URS,Viktor Chukarin,URS
Summer,1968,Mexico City,Mexico,172,174,170,183,527,Mikhail Voronin,URS,Věra Čáslavská,TCH
Summer,1972,Munich,West Germany,195,195,195,210,600,Mark Spitz,USA,Mark Spitz,USA
Summer,1900,Paris,France,95,96,95,93,284,Irving Baxter,USA,Alvin Kraenzlein,USA
Summer,1976,Montreal,Canada,198,198,199,216,613,Nikolai Andrianov,URS,Nikolai Andrianov,URS
Summer,1948,London,United Kingdom,136,138,135,138,411,Veikko Huhtanen,FIN,Fanny Blankers-Koen,NED
Summer,1980,Moscow,Soviet Union,203,204,204,223,631,Alexander Dityatin,URS,Alexander Dityatin,URS
Summer,1984,Los Angeles,United States,221,226,219,243,688,Li Ning,CHN,Ecaterina Szabo,ROU
Summer,1936,Berlin,Germany,129,130,128,130,388,Konrad Frey,GER,Jesse Owens,USA
Summer,1988,Seoul,South Korea,237,241,234,264,739,Matt Biondi,USA,Kristin Otto,GDR
Summer,1932,Los Angeles,United States,116,116,116,114,346,István Pelle,HUN,Helene Madison,USA
Summer,1960,Rome,Italy,150,152,149,160,461,Boris Shakhlin,URS,Boris Shakhlin,URS
Summer,1928,Amsterdam,Netherlands,109,110,108,109,327,Georges Miez,SUI,Georges Miez,SUI
Summer,1992,Barcelona,Spain,257,260,257,298,815,Vitaly Scherbo,EUN,Vitaly Scherbo,EUN
Summer,2012,London,United Kingdom,302,302,301,357,960,Michael Phelps,USA,Michael Phelps,USA
Summer,2024,Paris,France,329,329,330,385,1044,Zhang Yufei,CHN,Léon Marchand,FRA
Summer,1904,St. Louis,United States,95,96,96,93,285,Anton Heida,USA,Anton Heida,USA
Summer,2020,Tokyo,Japan,339,340,338,402,1080,Emma McKeon,AUS,Caeleb Dressel,USA
Summer,1908,London,United Kingdom,110,110,107,107,324,Mel Sheppard,USA,Mel Sheppard,USA
Summer,2016,Rio de Janeiro,Brazil,306,307,307,359,973,Michael Phelps,USA,Michael Phelps,USA
Summer,1912,Stockholm,Sweden,102,103,104,103,310,Vilhelm Carlberg,SWE,Vilhelm Carlberg,SWE
Summer,1996,Atlanta,United States,271,271,273,298,842,Alexei Nemov,RUS,Amy Van Dyken,USA
Summer,1956,Melbourne,Sweden,151,153,153,163,469,Ágnes Keleti,HUN,Ágnes Keleti,HUN
Summer,1920,Antwerp,Belgium,156,156,147,136,439,Willis Lee,USA,Willis Lee,USA
Summer,2008,Beijing,China,302,302,303,353,958,Michael Phelps,USA,Michael Phelps,USA
Summer,1924,Paris,France,126,126,127,125,378,Ville Ritola,FIN,Paavo Nurmi,FIN
Summer,2004,Athens,Greece,301,301,300,326,927,Michael Phelps,USA,Michael Phelps,USA
Summer,2000,Sydney,Australia,300,300,300,327,927,Alexei Nemov,RUS,Ian Thorpe,AUS
Winter,1932,Lake Placid,United States,14,14,14,14,42,Irving Jaffee,USA,Irving Jaffee,USA
Winter,1948,St. Moritz,Switzerland,22,22,24,22,68,Henri Oreiller,FRA,Henri Oreiller,FRA
Winter,1924,Chamonix,France,16,16,16,17,49,Clas Thunberg,FIN,Clas Thunberg,FIN
Winter,1952,Oslo,Norway,22,22,22,23,67,Hjalmar Andersen,NOR,Hjalmar Andersen,NOR
Winter,1936,Garmisch-Partenkirchen,Germany,17,17,17,17,51,Ivar Ballangrud,NOR,Ivar Ballangrud,NOR
Winter,1928,St. Moritz,Switzerland,14,14,12,15,41,Bernt Evensen,NOR,Johan Grøttumsbraaten,NOR
Winter,2026,Milan/Cortina d'Ampezzo,Italy,116,116,118,115,349,Johannes Høsflot Klæbo,NOR,Johannes Høsflot Klæbo,NOR
Winter,1960,Squaw Valley,United States,27,28,26,27,81,Veikko Hakulinen,FIN,Yevgeny Grishin,URS
Winter,2022,Beijing,China,109,109,109,110,328,Johannes Thingnes Bø,NOR,Johannes Thingnes Bø,NOR
Winter,2018,Pyeongchang,South Korea,102,103,102,102,307,Marit Bjørgen,NOR,Martin Fourcade,FRA
Winter,2014,Sochi,Russia,98,99,97,99,295,Ireen Wüst,NED,Viktor Ahn,RUS
Winter,2010,Vancouver,Canada,86,86,87,85,258,Marit Bjørgen,NOR,Marit Bjørgen,NOR
Winter,2006,Turin,Italy,84,84,84,84,252,Cindy Klassen,CAN,Ahn Hyun-soo,KOR
Winter,2002,Salt Lake City,United States,78,80,76,78,234,Ole Einar Bjørndalen,NOR,Ole Einar Bjørndalen,NOR
Winter,1998,Nagano,Japan,68,69,68,68,205,Larisa Lazutina,RUS,Larisa Lazutina,RUS
Winter,1994,Lillehammer,Norway,61,61,61,61,183,Manuela Di Centa,ITA,Lyubov Yegorova,RUS
Winter,1992,Albertville,France,57,57,58,56,171,Lyubov Yegorova,EUN,Lyubov Yegorova,EUN
Winter,1988,Calgary,Canada,46,46,46,46,138,Yvonne van Gennip,NED,Yvonne van Gennip,NED
Winter,1984,Sarajevo,Yugoslavia,39,39,39,39,117,Marja-Liisa Hämäläinen,FIN,Marja-Liisa Hämäläinen,FIN
Winter,1980,Lake Placid,United States,38,38,39,38,115,Eric Heiden,USA,Eric Heiden,USA
Winter,1976,Innsbruck,Austria,37,37,37,37,111,Tatyana Averina,URS,Rosi Mittermaier,FRG
Winter,1968,Grenoble,France,35,35,39,32,106,Jean-Claude Killy,FRA,Jean-Claude Killy,FRA
Winter,1964,Innsbruck,Austria,34,34,38,31,103,Lidiya Skoblikova,URS,Lidiya Skoblikova,URS
Winter,1956,Cortina d'Ampezzo,Italy,24,25,23,24,72,Sixten Jernberg,SWE,Toni Sailer,AUT
Winter,1972,Sapporo,Japan,35,36,34,35,105,Galina Kulakova,URS,Galina Kulakova,URS
