sport,title,age,medalist,details,notes
Freestyle skiing,Youngest freestyle skiing medalist,18 years 158 days,Ailing Eileen Gu,,
Freestyle skiing,Youngest freestyle skiing gold medalist,18 years 158 days,Ailing Eileen Gu,,
Freestyle skiing,Youngest female freestyle skiing medalist,18 years 158 days,Ailing Eileen Gu,,
Freestyle skiing,Youngest female freestyle skiing gold medalist,18 years 158 days,Ailing Eileen Gu,"At the 2022 Winter Olympics , Ailing Eileen Gu became the youngest freestyle skiing gold medalist. In the women's big air, she finished the first with an astonishing score, 188.25.",
Biathlon,Oldest biathlon medalist,40,Ole Einar Bjørndalen,,[ 5 ]
Biathlon,Oldest biathlon gold medalist,40,Ole Einar Bjørndalen,,[ 5 ]
Biathlon,Oldest male biathlon medalist,40,Ole Einar Bjørndalen,,[ 5 ]
Biathlon,Oldest male biathlon gold medalist,40,Ole Einar Bjørndalen,"At 2014 Winter Olympics , Ole Einar Bjørndalen won gold at the 10 km sprint biathlon event, tying the record number of total medals in the Winter Olympics at 12, along with Bjørn Dæhlie , and becoming the oldest Winter Olympics medalist at age 40.",[ 5 ]
Skeleton,Oldest skeleton gold medalist,39,Duff Gibson,,[ 6 ]
Skeleton,Oldest male skeleton gold medalist,39,Duff Gibson,"At the 2006 Winter Olympics , Duff Gibson became the oldest Winter Games gold medalist by winning gold in skeleton. He has subsequently been eclipsed as the oldest gold medalist at the Winter Games.",[ 6 ]
Luge,Youngest luge gold medalist,20,Felix Loch,,[ 7 ]
Luge,Youngest male luge gold medalist,20,Felix Loch,"At the 2010 Winter Olympics , he became the youngest ever Olympic luge gold medalist.",[ 7 ]
Cycling,Oldest cycling gold medalist,42,Kristin Armstrong,"At the 2012 Summer Olympics , she became the oldest cycling gold medalist, when she won the women's road time trial race, defending her gold medal from Beijing 2008. She repeated her success at the 2016 Summer Olympics , winning third gold in a row and setting a new record.",[ 8 ]
Cycling,Oldest female cycling gold medalist,42,Kristin Armstrong,,[ 8 ]
Athletics,Oldest athletics medalist,48,Terence Lloyd Johnson,,[ 9 ]
Athletics,Oldest athletics gold medalist,42,Pat McDonald,,[ 9 ]
Athletics,Oldest male athletics medalist,48,Terence Lloyd Johnson,"At the 1948 Summer Olympics , he won bronze in the men's 50 km walk.",[ 9 ]
Athletics,Oldest male athletics gold medalist,42,Pat McDonald,"At the 1920 Summer Olympics , he won the men's 56 lbs toss.",[ 9 ]
Athletics,Oldest female athletics medalist,40,Merlene Ottey,"At the 2000 Summer Olympics , she won bronze in the women's 100m dash.",[ 9 ]
Athletics,Oldest female athletics gold medalist,39,Ellina Zvereva,"At the 2000 Summer Olympics , she won gold for the discus throw.",[ 9 ]
Swimming,Oldest swimming medalist,41,Dara Torres,Torres won silver for the women's 4x100 freestyle team relay as anchor at the 2008 Summer Olympics .,[ 10 ]
Swimming,Oldest male swimming medalist,38,William Robinson,Robinson won silver for the men's 200m breaststroke at the 1908 Summer Olympics .,[ 10 ]
Swimming,Oldest female swimming medalist,41,Dara Torres,,[ 10 ]
Sailing,Oldest male sailing gold medalist,54,Santiago Lange,Lange won gold for the Nacra 17 at the 2016 Summer Olympics .,[ 11 ]
